date,charge_place,charge_time,charge_amount
3/31/2025,Home,1:58:35,13.4
4/1/2025,Home,2:28:12,16.8
4/2/2025,Home,1:28:56,10
4/3/2025,Home,1:58:33,13.4
4/4/2025,Home,1:58:31,13.4
4/7/2025,Home,1:58:33,13.4
4/9/2025,Home,1:58:33,13.4
4/10/2025,Home,1:58:33,13.4
4/11/2025,Home,1:58:33,13.4
4/13/2025,Home,3:57:06,21.7
4/15/2025,Home,2:57:43,20.1
4/16/2025,Home,1:58:33,13.4
4/17/2025,Home,1:28:57,10
4/18/2025,Home,1:28:58,10
4/19/2025,Home,2:05:48,14.2
4/20/2025,Home,0:33:38,3.8
4/21/2025,Home,4:26:36,28.2
